Timestamp,Timestamp.1,XOM Position,CVX Position,Quantity,XOM Entry,XOM Exit,XOM P&L,CVX Entry,CVX Exit,CVX P&L,Total P&L,success
2022-07-27,2022-08-03,Short,Long,54,$91.57,$91.02,$29.70,$149.26,$155.36,$36.60,$66.30,True
2022-08-23,2022-09-01,Short,Long,51,$98.00,$93.87,$210.63,$161.99,$155.54,$-38.70,$171.93,True
2022-09-20,2022-10-03,Long,Short,55,$92.44,$91.92,$-28.60,$156.28,$151.73,$27.30,$-1.30,False
2022-10-05,2022-11-09,Short,Long,51,$99.12,$108.90,$-498.78,$158.53,$177.93,$116.40,$-382.38,False
2022-12-05,2022-12-13,Long,Short,46,$106.85,$107.25,$18.40,$176.56,$173.53,$15.15,$33.55,True
2023-01-06,2023-02-02,Short,Long,44,$110.53,$111.15,$-27.28,$176.56,$169.01,$-37.75,$-65.03,False
2023-02-10,2023-02-17,Short,Long,41,$119.17,$111.28,$323.49,$171.97,$162.85,$-45.60,$277.89,True
2023-03-13,2023-03-21,Long,Short,47,$106.54,$107.04,$23.50,$158.71,$159.31,$-3.60,$19.90,True
2023-04-03,2023-05-01,Short,Long,43,$116.13,$114.67,$62.78,$169.95,$167.24,$-13.55,$49.23,True
2023-05-02,2023-05-24,Long,Short,46,$110.10,$107.59,$-115.46,$160.04,$157.27,$16.62,$-98.84,False
2023-05-31,2023-06-02,Long,Short,49,$102.18,$105.76,$175.42,$150.62,$156.26,$-33.84,$141.58,True
2023-06-07,2023-06-12,Short,Long,47,$108.53,$106.42,$99.17,$159.83,$157.33,$-15.00,$84.17,True
2023-06-20,2023-06-26,Long,Short,50,$102.72,$104.29,$78.50,$153.68,$154.01,$-1.98,$76.52,True
2023-07-14,2023-07-24,Long,Short,51,$100.94,$105.52,$233.58,$153.58,$161.82,$-49.44,$184.14,True
2023-08-09,2023-08-16,Short,Long,48,$109.56,$106.34,$154.56,$159.86,$158.63,$-7.38,$147.18,True
2023-09-01,2023-09-21,Short,Long,47,$113.52,$114.76,$-58.28,$164.30,$165.19,$5.34,$-52.94,False
2023-09-27,2023-10-02,Short,Long,44,$120.20,$115.63,$201.08,$171.04,$166.54,$-27.00,$174.08,True
2023-10-04,2023-10-18,Long,Short,48,$111.50,$112.95,$69.60,$163.04,$168.92,$-35.28,$34.32,True
2023-11-08,2023-11-17,Long,Short,52,$102.93,$104.96,$105.56,$142.40,$144.46,$-14.42,$91.14,True
2023-12-04,2023-12-18,Long,Short,53,$102.43,$101.65,$-41.34,$144.87,$149.68,$-33.67,$-75.01,False
2024-01-03,2024-01-08,Short,Long,52,$103.22,$100.92,$119.60,$152.33,$149.50,$-16.98,$102.62,True
2024-01-11,2024-01-24,Long,Short,55,$98.67,$99.60,$51.15,$145.28,$144.92,$2.52,$53.67,True
2024-01-30,2024-02-02,Short,Long,52,$104.85,$101.97,$149.76,$150.12,$152.24,$14.84,$164.60,True
2024-03-01,2024-04-17,Short,Long,52,$105.84,$118.63,$-665.08,$152.81,$156.40,$25.13,$-639.95,False
2024-04-26,2024-05-09,Long,Short,44,$117.96,$118.44,$21.12,$165.89,$165.45,$2.64,$23.76,True
2024-05-23,2024-05-31,Long,Short,46,$113.51,$117.26,$172.50,$156.94,$162.30,$-32.16,$140.34,True
2024-06-14,2024-06-24,Long,Short,49,$109.11,$114.05,$242.06,$152.57,$159.31,$-40.44,$201.62,True
2024-07-17,2024-07-22,Short,Long,46,$117.64,$115.27,$109.02,$161.23,$156.99,$-25.44,$83.58,True
2024-08-08,2024-08-20,Short,Long,46,$117.89,$114.58,$152.26,$144.49,$144.69,$1.40,$153.66,True
2024-09-10,2024-09-17,Long,Short,50,$110.82,$114.18,$168.00,$138.23,$143.41,$-36.26,$131.74,True
2024-10-01,2024-10-15,Short,Long,47,$119.93,$120.35,$-19.74,$149.70,$147.73,$-13.79,$-33.53,False
2024-10-29,2024-11-06,Long,Short,47,$117.28,$121.00,$174.84,$148.52,$157.72,$-64.40,$110.44,True
2024-11-26,2024-12-31,Long,Short,48,$117.97,$107.57,$-499.20,$162.53,$144.84,$106.14,$-393.06,False
2025-01-10,2025-01-13,Long,Short,51,$106.54,$109.29,$140.25,$153.14,$155.35,$-13.26,$126.99,True
2025-01-15,2025-01-22,Short,Long,49,$111.51,$109.53,$97.02,$158.33,$156.41,$-11.52,$85.50,True
2025-02-12,2025-02-18,Long,Short,52,$107.35,$110.14,$145.08,$154.90,$156.16,$-8.82,$136.26,True
2025-02-20,2025-02-25,Short,Long,50,$112.00,$109.73,$113.50,$158.79,$156.42,$-14.22,$99.28,True
2025-03-05,2025-03-07,Long,Short,54,$105.44,$109.02,$193.32,$150.81,$156.34,$-38.71,$154.61,True
2025-03-17,2025-04-03,Short,Long,50,$113.76,$112.43,$66.50,$158.72,$156.12,$-18.20,$48.30,True
