timestamp,XOM Position Qty,CVX Position Qty,Market Value,Daily Return,Drawdown,Trade Action
2022-07-28,-81,16,10000.0,0.00%,0.00%,ENTRY: Short
2022-08-03,-81,16,10210.74,2.76%,0.00%,EXIT: $210.74 (PROFIT)
2022-08-23,-78,15,10210.74,0.00%,0.00%,ENTRY: Short
2022-09-01,-78,15,10436.13,1.48%,0.00%,EXIT: $225.39 (PROFIT)
2022-09-20,84,-16,10436.13,-0.00%,0.00%,ENTRY: Long
2022-10-03,84,-16,10465.25,4.15%,0.00%,EXIT: $29.12 (PROFIT)
2022-10-05,-79,15,10465.25,0.00%,0.00%,ENTRY: Short
2022-11-09,-79,15,9983.63,3.67%,-4.60%,EXIT: $-481.62 (LOSS)
2022-12-05,70,-14,9983.63,-0.00%,-4.60%,ENTRY: Long
2022-12-13,70,-14,10054.05,0.64%,-3.93%,EXIT: $70.42 (PROFIT)
2023-01-06,-68,13,10054.05,0.00%,-3.93%,ENTRY: Short
2023-02-02,-68,13,9913.74,2.85%,-5.27%,EXIT: $-140.31 (LOSS)
2023-02-10,-64,12,9913.74,0.00%,-5.27%,ENTRY: Short
2023-02-17,-64,12,10309.26,3.40%,-1.49%,EXIT: $395.52 (PROFIT)
2023-03-13,74,-14,10309.26,-0.00%,-1.49%,ENTRY: Long
2023-03-21,74,-14,10337.86,3.86%,-1.22%,EXIT: $28.60 (PROFIT)
2023-04-03,-68,13,10337.86,0.00%,-1.22%,ENTRY: Short
2023-05-01,-68,13,10401.91,2.94%,-0.61%,EXIT: $64.05 (PROFIT)
2023-05-02,73,-14,10401.91,-0.00%,-0.61%,ENTRY: Long
2023-05-24,73,-14,10257.46,1.06%,-1.99%,EXIT: $-144.45 (LOSS)
2023-05-31,77,-15,10257.46,-0.00%,-1.99%,ENTRY: Long
2023-06-02,77,-15,10448.52,1.78%,-0.16%,EXIT: $191.06 (PROFIT)
2023-06-20,78,-15,10448.52,-0.00%,-0.16%,ENTRY: Long
2023-06-26,78,-15,10566.03,1.49%,0.00%,EXIT: $117.51 (PROFIT)
2023-07-14,80,-16,10566.03,-0.00%,0.00%,ENTRY: Long
2023-07-24,80,-16,10800.59,1.17%,0.00%,EXIT: $234.56 (PROFIT)
2023-08-09,-76,15,10800.59,0.00%,0.00%,ENTRY: Short
2023-08-16,-76,15,11026.86,1.61%,0.00%,EXIT: $226.27 (PROFIT)
2023-09-01,-75,15,11026.86,0.00%,0.00%,ENTRY: Short
2023-09-21,-75,15,10947.21,1.23%,-0.72%,EXIT: $-79.65 (LOSS)
2023-09-27,-70,14,10947.21,0.00%,-0.72%,ENTRY: Short
2023-10-02,-70,14,11204.11,1.41%,0.00%,EXIT: $256.90 (PROFIT)
2023-10-04,77,-15,11204.11,-0.00%,0.00%,ENTRY: Long
2023-10-18,77,-15,11227.56,1.24%,0.00%,EXIT: $23.45 (PROFIT)
2023-11-08,85,-17,11227.56,-0.00%,0.00%,ENTRY: Long
2023-11-17,85,-17,11365.09,2.06%,0.00%,EXIT: $137.53 (PROFIT)
2023-12-04,86,-17,11365.09,0.00%,0.00%,ENTRY: Long
2023-12-18,86,-17,11216.24,0.70%,-1.31%,EXIT: $-148.85 (LOSS)
2024-01-16,88,-17,11216.24,-0.00%,-1.31%,ENTRY: Long
2024-01-24,88,-17,11363.41,1.32%,-0.01%,EXIT: $147.17 (PROFIT)
2024-01-30,-84,16,11363.41,0.00%,-0.01%,ENTRY: Short
2024-02-02,-84,16,11639.25,1.00%,0.00%,EXIT: $275.84 (PROFIT)
2024-03-01,-85,17,11639.25,0.00%,0.00%,ENTRY: Short
2024-04-17,-85,17,10613.13,0.07%,-8.82%,EXIT: $-1026.12 (LOSS)
2024-04-26,70,-14,10613.13,0.00%,-8.82%,ENTRY: Long
2024-05-15,70,-14,10696.29,0.84%,-8.10%,EXIT: $83.16 (PROFIT)
2024-05-23,73,-14,10696.29,-0.00%,-8.10%,ENTRY: Long
2024-05-31,73,-14,10895.0,2.35%,-6.39%,EXIT: $198.71 (PROFIT)
2024-06-14,77,-15,10895.0,-0.00%,-6.39%,ENTRY: Long
2024-06-24,77,-15,11174.28,2.45%,-3.99%,EXIT: $279.28 (PROFIT)
2024-07-17,-74,14,11174.28,0.00%,-3.99%,ENTRY: Short
2024-07-23,-74,14,11387.34,1.24%,-2.16%,EXIT: $213.06 (PROFIT)
2024-08-08,-77,15,11387.34,0.00%,-2.16%,ENTRY: Short
2024-08-20,-77,15,11645.21,3.04%,0.00%,EXIT: $257.87 (PROFIT)
2024-09-10,83,-16,11645.21,-0.00%,0.00%,ENTRY: Long
2024-09-17,83,-16,11841.21,1.12%,0.00%,EXIT: $196.00 (PROFIT)
2024-10-01,-78,15,11841.21,0.00%,0.00%,ENTRY: Short
2024-10-15,-78,15,11778.9,2.47%,-0.53%,EXIT: $-62.31 (LOSS)
2024-10-29,80,-16,11778.9,-0.00%,-0.53%,ENTRY: Long
2024-11-06,80,-16,11929.3,1.15%,0.00%,EXIT: $150.40 (PROFIT)
2024-11-26,79,-15,11929.3,0.00%,0.00%,ENTRY: Long
2024-12-31,79,-15,11373.05,1.46%,-4.66%,EXIT: $-556.25 (LOSS)
2025-01-10,82,-16,11373.05,0.00%,-4.66%,ENTRY: Long
2025-01-13,82,-16,11563.19,2.29%,-3.07%,EXIT: $190.14 (PROFIT)
2025-01-15,-80,16,11563.19,0.00%,-3.07%,ENTRY: Short
2025-01-22,-80,16,11690.87,1.51%,-2.00%,EXIT: $127.68 (PROFIT)
2025-02-12,84,-16,11690.87,-0.00%,-2.00%,ENTRY: Long
2025-02-18,84,-16,11905.07,1.65%,-0.20%,EXIT: $214.20 (PROFIT)
2025-03-05,87,-17,11905.07,-0.00%,-0.20%,ENTRY: Long
2025-03-07,87,-17,12122.52,0.85%,0.00%,EXIT: $217.45 (PROFIT)
2025-03-17,-83,16,12122.52,0.00%,0.00%,ENTRY: Short
2025-04-03,-83,16,12191.31,4.01%,0.00%,EXIT: $68.79 (PROFIT)
2025-04-04,91,-18,12191.31,-0.00%,0.00%,ENTRY: Long
2025-04-17,91,-18,12523.47,2.25%,0.00%,EXIT: $332.16 (PROFIT)
